AUC:0.9362   Time:1.2083   
AUC:0.9468   Time:1.1696   
AUC:0.9404   Time:1.1933   
AUC:0.9476   Time:1.2307   
AUC:0.9344   Time:1.2537   
AUC:0.9523   Time:1.4003   
AUC:0.9409   Time:1.3219   
AUC:0.935   Time:1.2494   
AUC:0.954   Time:1.275   
AUC:0.9364   Time:1.2482   
AUC:0.945   Time:1.3023   
AUC:0.9446   Time:1.2971   
AUC:0.9468   Time:1.4217   
AUC:0.9509   Time:1.3854   
AUC:0.9449   Time:1.4043   
AUC:0.9559   Time:1.3892   
AUC:0.9511   Time:1.3995   
AUC:0.9495   Time:1.4672   
AUC:0.9557   Time:1.4229   
AUC:0.9506   Time:1.3674   
AUC:0.9552   Time:0.5078   
AUC:0.9537   Time:0.5481   
AUC:0.9522   Time:0.507   
AUC:0.9521   Time:0.5489   
AUC:0.9576   Time:0.5067   
AUC:0.9553   Time:0.5478   
AUC:0.9608   Time:0.5077   
AUC:0.9627   Time:0.5488   
AUC:0.9505   Time:0.5068   
AUC:0.953   Time:0.5481   
AUC:0.9672   Time:0.5071   
AUC:0.9718   Time:0.5478   
AUC:0.9621   Time:0.508   
AUC:0.9599   Time:0.5486   
AUC:0.9636   Time:0.5071   
AUC:0.9612   Time:0.5067   
AUC:0.9616   Time:0.5497   
AUC:0.9579   Time:0.5303   
AUC:0.9517   Time:0.5291   
AUC:0.9589   Time:0.5079   
AUC:0.9592   Time:0.5478   
AUC:0.9545   Time:0.5322   
AUC:0.952   Time:0.5294   
AUC:0.9578   Time:0.5332   
AUC:0.9595   Time:0.548   
AUC:0.9625   Time:0.5312   
AUC:0.9607   Time:0.5335   
AUC:0.9584   Time:0.5314   
AUC:0.9567   Time:0.5305   
AUC:0.9586   Time:0.5307   
AUC:0.9691   Time:0.5331   
AUC:0.9713   Time:0.531   
AUC:0.9616   Time:0.5315   
AUC:0.9638   Time:0.5308   
AUC:0.9646   Time:0.5325   
AUC:0.9611   Time:0.5299   
AUC:0.9592   Time:0.5322   
AUC:0.961   Time:0.5325   
AUC:0.9602   Time:0.5319   
AUC:0.9577   Time:0.5307   
AUC:0.9549   Time:0.8396   
AUC:0.9558   Time:0.8401   
AUC:0.9573   Time:0.8419   
AUC:0.9632   Time:0.8413   
AUC:0.949   Time:0.8397   
AUC:0.9686   Time:0.8405   
AUC:0.9575   Time:0.8411   
AUC:0.9634   Time:0.842   
AUC:0.9594   Time:0.8413   
AUC:0.9602   Time:0.8405   
AUC:0.9574   Time:0.5059   
AUC:0.962   Time:0.8381   
AUC:0.9541   Time:0.5077   
AUC:0.9594   Time:0.506   
AUC:0.9549   Time:0.8377   
AUC:0.9549   Time:0.5058   
AUC:0.9679   Time:0.507   
AUC:0.9588   Time:0.8351   
AUC:0.9639   Time:0.5074   
AUC:0.9523   Time:0.8375   
AUC:0.9537   Time:0.5067   
AUC:0.9512   Time:0.5061   
AUC:0.9667   Time:0.8345   
AUC:0.9599   Time:0.5065   
AUC:0.9577   Time:0.5062   
AUC:0.9583   Time:0.8342   
AUC:0.9561   Time:0.8337   
AUC:0.9574   Time:0.8355   
AUC:0.9535   Time:0.5087   
AUC:0.9569   Time:0.8368   
AUC:0.9608   Time:0.5087   
AUC:0.9611   Time:0.8372   
AUC:0.9669   Time:0.507   
AUC:0.9643   Time:0.8374   
AUC:0.9642   Time:0.5084   
AUC:0.9515   Time:0.8363   
AUC:0.9671   Time:0.5078   
AUC:0.9649   Time:0.8372   
AUC:0.9616   Time:0.5087   
AUC:0.9632   Time:0.8357   
AUC:0.9465   Time:0.5071   
AUC:0.9569   Time:0.5081   
AUC:0.9679   Time:0.8375   
AUC:0.9564   Time:0.508   
AUC:0.9762   Time:0.5083   
AUC:0.963   Time:0.8376   
AUC:0.9509   Time:0.8384   
AUC:0.9587   Time:0.839   
AUC:0.9502   Time:0.8375   
AUC:0.9684   Time:0.8377   
AUC:0.9048   Time:0.3917   
AUC:0.9137   Time:0.3913   
AUC:0.8984   Time:0.3955   
AUC:0.9153   Time:0.3922   
AUC:0.9122   Time:0.3923   
AUC:0.91   Time:0.3912   
AUC:0.9124   Time:0.3932   
AUC:0.914   Time:0.3925   
AUC:0.9209   Time:0.3952   
AUC:0.9045   Time:0.3946   
AUC:0.9369   Time:0.4061   
AUC:0.945   Time:0.4057   
AUC:0.9417   Time:0.4045   
AUC:0.9468   Time:0.4045   
AUC:0.9456   Time:0.4032   
AUC:0.9548   Time:0.4019   
AUC:0.9485   Time:0.405   
AUC:0.9347   Time:0.0225   
AUC:0.936   Time:0.0235   
AUC:0.9308   Time:0.0224   
AUC:0.9359   Time:0.023   
AUC:0.943   Time:0.0225   
AUC:0.9436   Time:0.022   
AUC:0.9425   Time:0.0225   
AUC:0.9443   Time:0.0232   
AUC:0.936   Time:0.0231   
AUC:0.9438   Time:0.0237   
AUC:0.9408   Time:0.0228   
AUC:0.9546   Time:0.0227   
AUC:0.9434   Time:0.0235   
AUC:0.9509   Time:0.0226   
AUC:0.9439   Time:0.0227   
AUC:0.9358   Time:0.0225   
AUC:0.9455   Time:0.0243   
AUC:0.9359   Time:0.0227   
AUC:0.9491   Time:0.4031   
AUC:0.9084   Time:0.3944   
AUC:0.9395   Time:0.4021   
AUC:0.9469   Time:0.4025   
AUC:0.9113   Time:0.3945   
AUC:0.9427   Time:0.2194   
AUC:0.9437   Time:0.4037   
AUC:0.9014   Time:0.3943   
AUC:0.9428   Time:0.4003   
AUC:0.9138   Time:0.3955   
AUC:0.9494   Time:0.4019   
AUC:0.9046   Time:0.3949   
AUC:0.9464   Time:0.4007   
AUC:0.9227   Time:0.3949   
AUC:0.9541   Time:0.402   
AUC:0.9154   Time:0.395   
AUC:0.9478   Time:0.4014   
AUC:0.9023   Time:0.395   
AUC:0.9483   Time:0.3997   
AUC:0.9185   Time:0.3955   
AUC:0.9467   Time:0.4021   
AUC:0.906   Time:0.3945   
AUC:0.9432   Time:0.4029   
AUC:0.9416   Time:0.4052   
AUC:0.9435   Time:0.4018   
AUC:0.9418   Time:0.4058   
AUC:0.9459   Time:0.4019   
AUC:0.9467   Time:0.4054   
AUC:0.9514   Time:0.4041   
AUC:0.949   Time:0.402   
AUC:0.9481   Time:0.4016   
AUC:0.9465   Time:0.4022   
AUC:0.9435   Time:0.4021   
AUC:0.9318   Time:0.0224   
AUC:0.9442   Time:0.0233   
AUC:0.9286   Time:0.0247   
AUC:0.9444   Time:1.0757   
AUC:0.9496   Time:0.0228   
AUC:0.9375   Time:0.022   
AUC:0.9575   Time:0.0233   
AUC:0.9418   Time:0.0229   
AUC:0.9367   Time:0.024   
AUC:0.9488   Time:1.0405   
AUC:0.9407   Time:0.0224   
AUC:0.9428   Time:0.0238   
AUC:0.9506   Time:0.5228   
AUC:0.9451   Time:1.1148   
AUC:0.9512   Time:1.0238   
AUC:0.9452   Time:1.0915   
AUC:0.9499   Time:0.5219   
AUC:0.9351   Time:0.4016   
AUC:0.9558   Time:1.0223   
AUC:0.9521   Time:1.0344   
AUC:0.9492   Time:1.1451   
AUC:0.9496   Time:0.5218   
AUC:0.9586   Time:1.0789   
AUC:0.9527   Time:1.1291   
AUC:0.9385   Time:0.4016   
AUC:0.959   Time:0.5228   
AUC:0.9411   Time:0.4008   
AUC:0.957   Time:0.5206   
AUC:0.9636   Time:0.5195   
AUC:0.9451   Time:0.4011   
AUC:0.9572   Time:0.5233   
AUC:0.9429   Time:0.4015   
AUC:0.9536   Time:0.5225   
AUC:0.955   Time:0.5225   
AUC:0.9445   Time:0.4021   
AUC:0.954   Time:0.5242   
AUC:0.9422   Time:0.403   
AUC:0.9477   Time:0.4027   
AUC:0.9346   Time:0.4037   
AUC:0.9402   Time:0.4035   
AUC:0.9447   Time:0.4069   
AUC:0.943   Time:0.406   
AUC:0.9379   Time:0.4101   
AUC:0.9414   Time:0.4028   
AUC:0.949   Time:0.4051   
AUC:0.9424   Time:0.4057   
AUC:0.9442   Time:0.4008   
AUC:0.9399   Time:0.4091   
AUC:0.9441   Time:0.4028   
AUC:0.9449   Time:0.4059   
AUC:0.9408   Time:0.4009   
AUC:0.9409   Time:0.4095   
AUC:0.9535   Time:0.2215   
AUC:0.9477   Time:0.4044   
AUC:0.9458   Time:0.4018   
AUC:0.9456   Time:0.4095   
AUC:0.9525   Time:0.4058   
AUC:0.9472   Time:0.4063   
AUC:0.9469   Time:0.4001   
AUC:0.9424   Time:0.408   
AUC:0.9574   Time:0.4059   
AUC:0.9556   Time:0.4066   
AUC:0.9536   Time:0.4001   
AUC:0.9477   Time:0.4102   
AUC:0.9442   Time:0.4038   
AUC:0.9487   Time:0.2191   
AUC:0.9484   Time:0.4038   
AUC:0.9452   Time:0.408   
AUC:0.954   Time:0.4059   
AUC:0.9488   Time:0.4025   
AUC:0.9498   Time:0.4056   
AUC:0.9487   Time:0.4081   
AUC:0.9465   Time:0.4036   
AUC:0.9468   Time:0.4001   
AUC:0.9433   Time:0.4048   
AUC:0.9399   Time:0.4064   
AUC:0.9439   Time:0.4064   
AUC:0.944   Time:0.4029   
AUC:0.9438   Time:0.4039   
AUC:0.9391   Time:0.4078   
AUC:0.9316   Time:0.4029   
AUC:0.9439   Time:0.4035   
AUC:0.9433   Time:0.4057   
AUC:0.9445   Time:0.4034   
AUC:0.9423   Time:0.4033   
AUC:0.9393   Time:0.403   
AUC:0.9475   Time:0.4051   
AUC:0.9495   Time:0.4054   
AUC:0.9363   Time:0.4076   
AUC:0.9387   Time:0.4082   
AUC:0.9381   Time:0.4063   
AUC:0.9345   Time:0.4077   
AUC:0.9367   Time:0.4098   
AUC:0.9378   Time:0.4054   
AUC:0.9379   Time:0.4091   
AUC:0.9405   Time:0.4105   
AUC:0.9373   Time:0.4103   
AUC:0.9469   Time:0.4411   
AUC:0.9432   Time:0.4071   
AUC:0.9415   Time:0.4092   
AUC:0.9408   Time:0.4097   
AUC:0.945   Time:0.4393   
AUC:0.9344   Time:0.409   
AUC:0.9317   Time:0.4081   
AUC:0.9386   Time:0.4094   
AUC:0.94   Time:0.4417   
AUC:0.9493   Time:0.4071   
AUC:0.9523   Time:0.41   
AUC:0.949   Time:0.4098   
AUC:0.9532   Time:0.4417   
AUC:0.945   Time:0.409   
AUC:0.9457   Time:0.4098   
AUC:0.9445   Time:0.4083   
AUC:0.9464   Time:0.4413   
AUC:0.9472   Time:0.4083   
AUC:0.9447   Time:0.2244   
AUC:0.9507   Time:0.226   
AUC:0.9562   Time:0.4406   
AUC:0.9408   Time:0.4091   
