AUC:0.9708   Time:4.2636   
AUC:0.9693   Time:3.4427   
AUC:0.9709   Time:4.4648   
AUC:0.9696   Time:3.3658   
AUC:0.9713   Time:4.5069   
AUC:0.9671   Time:3.9381   
AUC:0.9692   Time:3.5764   
AUC:0.9684   Time:3.4876   
AUC:0.969   Time:3.916   
AUC:0.964   Time:3.56   
AUC:0.9689   Time:3.5486   
AUC:0.9698   Time:3.631   
AUC:0.9676   Time:3.511   
AUC:0.9652   Time:4.3504   
AUC:0.9655   Time:4.5966   
AUC:0.9654   Time:3.5987   
AUC:0.9655   Time:3.4497   
AUC:0.9692   Time:3.4104   
AUC:0.9649   Time:4.2718   
AUC:0.9659   Time:4.5732   
AUC:0.9652   Time:4.4816   
AUC:0.9643   Time:4.2604   
AUC:0.9692   Time:3.7411   
AUC:0.9683   Time:4.2415   
AUC:0.969   Time:3.8835   
AUC:0.965   Time:3.7983   
AUC:0.9656   Time:3.5157   
AUC:0.9659   Time:3.3804   
AUC:0.9652   Time:3.6729   
AUC:0.9682   Time:3.4696   
AUC:0.9641   Time:3.6803   
AUC:0.9637   Time:4.6297   
AUC:0.9645   Time:3.7611   
AUC:0.967   Time:3.6094   
AUC:0.9682   Time:3.6162   
AUC:0.9675   Time:3.647   
AUC:0.969   Time:3.6552   
AUC:0.9692   Time:3.3938   
AUC:0.9672   Time:3.5647   
AUC:0.9674   Time:4.4872   
AUC:0.9702   Time:3.5671   
AUC:0.9681   Time:3.6704   
AUC:0.9683   Time:3.6705   
AUC:0.9648   Time:4.191   
AUC:0.9653   Time:4.4075   
AUC:0.9682   Time:3.6176   
AUC:0.9659   Time:3.3522   
AUC:0.9645   Time:3.7844   
AUC:0.968   Time:3.531   
AUC:0.967   Time:3.7066   
