AUC:0.9343   Time:0.1247   
AUC:0.9059   Time:0.1556   
AUC:0.9171   Time:0.1536   
AUC:0.9475   Time:0.1227   
AUC:0.9263   Time:0.1267   
AUC:0.9245   Time:0.1267   
AUC:0.9217   Time:0.1257   
AUC:0.9337   Time:0.1277   
AUC:0.9299   Time:0.1287   
AUC:0.9616   Time:0.1327   
0.6226   Time:0.1744   
0.684   Time:0.1327   
0.7642   Time:0.1327   
0.7736   Time:0.1296   
0.816   Time:0.1326   
0.8443   Time:0.1307   
0.8302   Time:0.132   
0.8302   Time:0.1264   
0.8302   Time:0.1314   
0.8208   Time:0.1248   
0.8208   Time:0.1316   
0.8679   Time:0.1372   
0.8679   Time:0.1296   
AUC:0.8349   Time:0.2154   
AUC:0.9305   Time:0.0309   
AUC:0.9671   Time:0.3341   
AUC:0.9882   Time:0.015   
AUC:0.9781   Time:0.0151   
AUC:0.9756   Time:0.015   
AUC:0.9882   Time:0.0148   
AUC:0.9781   Time:0.0149   
AUC:0.9892   Time:0.0147   
AUC:0.9763   Time:0.0136   
AUC:0.9804   Time:0.015   
AUC:0.987   Time:0.0143   
AUC:0.9795   Time:0.0145   
AUC:0.9816   Time:0.0145   
AUC:0.988   Time:0.0146   
AUC:0.9887   Time:0.0148   
AUC:0.9875   Time:0.0151   
AUC:0.9789   Time:0.0157   
AUC:0.985   Time:0.0151   
AUC:0.9891   Time:0.0152   
AUC:0.9753   Time:0.0152   
AUC:0.9868   Time:0.0142   
AUC:0.979   Time:0.015   
AUC:0.9798   Time:0.0143   
AUC:0.9874   Time:0.0152   
AUC:0.9887   Time:0.0146   
AUC:0.9868   Time:0.0147   
AUC:0.9781   Time:0.0138   
AUC:0.9878   Time:0.0144   
AUC:0.9807   Time:0.0145   
AUC:0.9831   Time:0.0136   
AUC:0.9906   Time:0.0143   
AUC:0.9875   Time:0.0148   
AUC:0.9751   Time:0.0142   
AUC:0.9866   Time:0.0144   
AUC:0.9799   Time:0.0144   
AUC:0.9833   Time:0.0144   
AUC:0.9918   Time:0.0148   
AUC:0.9747   Time:0.0144   
AUC:0.9862   Time:0.0145   
AUC:0.9763   Time:0.0145   
AUC:0.9796   Time:0.015   
AUC:0.9892   Time:0.0156   
AUC:0.9802   Time:0.0146   
AUC:0.987   Time:0.0143   
AUC:0.9773   Time:0.0151   
AUC:0.9807   Time:0.0156   
AUC:0.991   Time:0.0127   
AUC:0.9784   Time:0.0142   
AUC:0.9851   Time:0.0148   
AUC:0.9797   Time:0.0148   
AUC:0.9797   Time:0.0144   
AUC:0.9864   Time:0.0135   
AUC:0.9778   Time:0.0143   
AUC:0.9863   Time:0.0159   
AUC:0.978   Time:0.0147   
AUC:0.9786   Time:0.0152   
AUC:0.993   Time:0.0169   
AUC:0.9758   Time:0.0145   
AUC:0.9884   Time:0.0151   
AUC:0.9804   Time:0.0157   
AUC:0.9785   Time:0.0149   
AUC:0.9835   Time:0.0162   
AUC:0.9757   Time:0.0149   
AUC:0.9897   Time:0.0149   
AUC:0.9754   Time:0.015   
AUC:0.9806   Time:0.0168   
AUC:0.9879   Time:0.0196   
AUC:0.986   Time:0.0154   
AUC:0.9815   Time:0.019   
AUC:0.9783   Time:0.0147   
AUC:0.9881   Time:0.0243   
AUC:0.9804   Time:0.0131   
AUC:0.9755   Time:0.0186   
AUC:0.9908   Time:0.0148   
AUC:0.9685   Time:0.0191   
AUC:0.9744   Time:0.0171   
AUC:0.9875   Time:0.0134   
AUC:0.992   Time:0.014   
AUC:0.9769   Time:0.0185   
AUC:0.9774   Time:0.0141   
AUC:0.9819   Time:0.015   
AUC:0.9702   Time:0.0152   
AUC:0.9743   Time:0.0148   
AUC:0.9872   Time:0.0155   
AUC:0.9777   Time:0.0143   
AUC:0.9826   Time:0.0143   
AUC:0.9902   Time:0.0148   
AUC:0.9776   Time:0.0138   
AUC:0.9878   Time:0.0148   
AUC:0.9789   Time:0.0136   
AUC:0.9799   Time:0.0147   
AUC:0.9871   Time:0.0146   
AUC:0.977   Time:0.0156   
AUC:0.9661   Time:0.3981   
AUC:0.9644   Time:0.3605   
AUC:0.961   Time:0.27   
AUC:0.9722   Time:0.3377   
AUC:0.9616   Time:0.338   
AUC:0.9615   Time:0.3418   
AUC:0.9569   Time:0.34   
AUC:0.9617   Time:0.2696   
AUC:0.9575   Time:0.3386   
AUC:0.9658   Time:0.3357   
